sector,r_trends,p_trends,r_wiki,p_wiki,n
Banking,0.02313724754974495,0.9431013022189891,0.4358552166409233,0.15666882419762734,12
FMCG retail,0.7663909048716462,0.003644845296499282,0.60073049706923,0.038862100117732695,12
E-commerce,0.8415475362969218,0.000599056512966466,0.7957983227434031,0.0019621102074455408,12
Telecom,0.5676783097744835,0.054193117599816265,0.47569803320532816,0.11802283215056704,12
