sector,brand,r_trends,p_trends,r_wiki,p_wiki,n
Banking,Raiffeisenbank,-0.3787685543460705,0.006679119947362824,0.1213178816726827,0.3964140320061556,50
Banking,Česká spořitelna,0.11898935657181907,0.4104905239839206,0.09120282588750063,0.5244504790992028,50
Banking,ČSOB,0.06202387136431245,0.6687278732629542,0.046105155792919905,0.7480096448205575,50
Banking,Air Bank,-0.0046862776221155734,0.9742335973501097,0.24476469727776196,0.08343845737909486,50
Banking,mBank,0.33344476255833244,0.017965056691376623,0.4233907255751975,0.001963617396452266,50
Banking,Partners Banka,-0.08226140921648767,0.5700840535832749,0.43808705216162414,0.001303526846915822,50
FMCG retail,Lidl,0.3256133394425382,0.021028279018851292,0.05208863760892024,0.7165960154269501,50
FMCG retail,Albert,0.64511255024244,4.2543578998874373e-07,0.34296153440853333,0.013749358296949487,50
FMCG retail,Penny,0.6019956809955606,3.7538359346015616e-06,0.12591227805968644,0.37863581811457003,50
FMCG retail,Kaufland,0.550930591917765,3.385287780695387e-05,0.2960428855100383,0.034919416442374,50
FMCG retail,Tesco,0.39585666186033563,0.004433019685091744,-0.21761621157668004,0.12502663099239877,50
E-commerce,Temu,0.7489781655587177,3.9621349213395e-10,0.5172971995404859,0.00010148480374478007,50
E-commerce,Notino,0.37268370795290706,0.007689852858109133,0.26395551501187114,0.06125753234155519,50
E-commerce,Allegro,0.42814695498640915,0.0019238857215040442,0.12938330807725412,0.3655254877237557,50
E-commerce,Datart,0.4710518213614044,0.0005552198046068244,0.31079667829918867,0.0264324037845942,50
E-commerce,Alza.cz,0.7068875960591221,9.6190294297952e-09,0.4296791356878635,0.001651524452793682,50
Telecom,T-Mobile,-0.17118706652987925,0.23457446079665234,0.00017041723730125413,0.9990530307239273,50
Telecom,O2,0.24978338568121272,0.08022007940640456,0.14246527616196267,0.3186278840978035,50
Telecom,Vodafone,-0.1473071847514525,0.3073226463133701,0.2468009968957804,0.08082188997919007,50
