sector,r_trends,p_trends,r_wiki,p_wiki,n
Banking,-0.04115745610874759,0.7765740041832763,0.1311627819888715,0.3589121371082419,50
FMCG retail,0.7371594851350363,1.0309514234691264e-09,0.318958778509256,0.022530926292984924,50
E-commerce,0.6947465447161598,2.1813487072786174e-08,0.7216382939314829,2.3029912122288153e-09,50
Telecom,0.12951123342691562,0.37003737733540143,0.14174037858757377,0.3211219015920586,50
